segment_id,from_stop,to_stop,duration_mins,cost_hkd,transport_type
SEG001,HK011,HK014,45,12.50,BUS
SEG002,HK001,HK002,3,4.50,MTR
SEG003,HK002,HK003,3,4.00,MTR
SEG004,HK003,HK004,5,4.00,MTR
SEG005,HK004,HK005,3,4.50,MTR
SEG006,HK005,HK006,4,4.00,MTR
SEG007,HK006,HK007,4,4.00,MTR
SEG008,HK007,HK008,3,4.00,MTR
SEG009,HK008,HK009,3,4.00,MTR
SEG010,HK005,HK010,8,13.50,MTR
SEG011,HK006,HK010,8,12.00,MTR
SEG012,HK010,HK011,5,4.00,MTR
SEG013,HK011,HK012,4,4.00,MTR
SEG014,HK005,HK013,3,0,WALK
SEG015,HK013,HK001,12,5.00,BUS
SEG016,HK013,HK008,20,6.00,BUS
SEG017,HK006,HK012,35,11.50,BUS
SEG018,HK008,HK012,50,13.00,BUS
SEG019,HK015,HK016,15,7.00,FERRY
SEG020,HK006,HK014,4,0,WALK
SEG021,HK010,HK016,6,0,WALK
SEG022,HK005,HK015,5,0,WALK
